"DATE","TIME PERIOD","(LFSI.M.FR.N.UNEHRT.TOTAL0.15_74.T)"
"2003-01-31","2003Jan","8.742543"
"2003-02-28","2003Feb","8.717502"
"2003-03-31","2003Mar","8.612807"
"2003-04-30","2003Apr","8.530143"
"2003-05-31","2003May","8.276990"
"2003-06-30","2003Jun","7.955947"
"2003-07-31","2003Jul","7.730543"
"2003-08-31","2003Aug","7.877582"
"2003-09-30","2003Sep","8.250008"
"2003-10-31","2003Oct","8.881065"
"2003-11-30","2003Nov","9.234453"
"2003-12-31","2003Dec","9.374564"
"2004-01-31","2004Jan","9.512059"
"2004-02-29","2004Feb","9.357358"
"2004-03-31","2004Mar","9.070516"
"2004-04-30","2004Apr","8.762685"
"2004-05-31","2004May","8.519239"
"2004-06-30","2004Jun","8.183570"
"2004-07-31","2004Jul","8.089992"
"2004-08-31","2004Aug","8.479894"
"2004-09-30","2004Sep","8.654561"
"2004-10-31","2004Oct","9.157071"
"2004-11-30","2004Nov","9.451680"
"2004-12-31","2004Dec","9.273349"
"2005-01-31","2005Jan","9.231206"
"2005-02-28","2005Feb","8.963404"
"2005-03-31","2005Mar","8.753377"
"2005-04-30","2005Apr","8.667384"
"2005-05-31","2005May","8.591285"
"2005-06-30","2005Jun","8.297508"
"2005-07-31","2005Jul","8.236449"
"2005-08-31","2005Aug","8.666562"
"2005-09-30","2005Sep","8.804355"
"2005-10-31","2005Oct","9.285741"
"2005-11-30","2005Nov","9.546612"
"2005-12-31","2005Dec","9.470101"
"2006-01-31","2006Jan","9.718058"
"2006-02-28","2006Feb","9.565171"
"2006-03-31","2006Mar","9.279014"
"2006-04-30","2006Apr","8.991859"
"2006-05-31","2006May","8.709644"
"2006-06-30","2006Jun","8.377687"
"2006-07-31","2006Jul","8.326794"
"2006-08-31","2006Aug","8.695481"
"2006-09-30","2006Sep","8.525007"
"2006-10-31","2006Oct","8.693047"
"2006-11-30","2006Nov","8.720438"
"2006-12-31","2006Dec","8.634829"
"2007-01-31","2007Jan","9.023843"
"2007-02-28","2007Feb","8.909952"
"2007-03-31","2007Mar","8.582603"
"2007-04-30","2007Apr","8.235528"
"2007-05-31","2007May","7.933095"
"2007-06-30","2007Jun","7.501358"
"2007-07-31","2007Jul","7.417108"
"2007-08-31","2007Aug","7.690824"
"2007-09-30","2007Sep","7.620318"
"2007-10-31","2007Oct","7.855979"
"2007-11-30","2007Nov","7.853155"
"2007-12-31","2007Dec","7.598064"
"2008-01-31","2008Jan","7.704289"
"2008-02-29","2008Feb","7.453606"
"2008-03-31","2008Mar","7.316475"
"2008-04-30","2008Apr","7.275523"
"2008-05-31","2008May","7.141002"
"2008-06-30","2008Jun","6.895883"
"2008-07-31","2008Jul","6.795731"
"2008-08-31","2008Aug","7.153818"
"2008-09-30","2008Sep","7.256767"
"2008-10-31","2008Oct","7.735895"
"2008-11-30","2008Nov","8.138582"
"2008-12-31","2008Dec","8.258653"
"2009-01-31","2009Jan","8.792559"
"2009-02-28","2009Feb","8.999303"
"2009-03-31","2009Mar","9.080876"
"2009-04-30","2009Apr","9.140396"
"2009-05-31","2009May","9.069880"
"2009-06-30","2009Jun","8.602314"
"2009-07-31","2009Jul","8.382830"
"2009-08-31","2009Aug","8.826065"
"2009-09-30","2009Sep","8.998520"
"2009-10-31","2009Oct","9.713603"
"2009-11-30","2009Nov","10.034310"
"2009-12-31","2009Dec","9.827456"
"2010-01-31","2010Jan","10.041138"
"2010-02-28","2010Feb","9.813205"
"2010-03-31","2010Mar","9.493040"
"2010-04-30","2010Apr","9.297027"
"2010-05-31","2010May","9.124025"
"2010-06-30","2010Jun","8.663335"
"2010-07-31","2010Jul","8.441912"
"2010-08-31","2010Aug","8.895000"
"2010-09-30","2010Sep","8.940089"
"2010-10-31","2010Oct","9.367295"
"2010-11-30","2010Nov","9.670853"
"2010-12-31","2010Dec","9.568086"
"2011-01-31","2011Jan","9.797938"
"2011-02-28","2011Feb","9.633687"
"2011-03-31","2011Mar","9.279706"
"2011-04-30","2011Apr","9.055126"
"2011-05-31","2011May","8.863448"
"2011-06-30","2011Jun","8.554256"
"2011-07-31","2011Jul","8.453561"
"2011-08-31","2011Aug","8.845761"
"2011-09-30","2011Sep","8.892365"
"2011-10-31","2011Oct","9.470128"
"2011-11-30","2011Nov","9.808565"
"2011-12-31","2011Dec","9.772245"
"2012-01-31","2012Jan","10.067443"
"2012-02-29","2012Feb","9.928346"
"2012-03-31","2012Mar","9.729846"
"2012-04-30","2012Apr","9.609395"
"2012-05-31","2012May","9.510068"
"2012-06-30","2012Jun","9.117673"
"2012-07-31","2012Jul","8.932725"
"2012-08-31","2012Aug","9.329619"
"2012-09-30","2012Sep","9.519830"
"2012-10-31","2012Oct","10.237041"
"2012-11-30","2012Nov","10.651350"
"2012-12-31","2012Dec","10.617510"
"2013-01-31","2013Jan","10.998468"
"2013-02-28","2013Feb","10.834248"
"2013-03-31","2013Mar","10.605547"
"2013-04-30","2013Apr","10.417299"
"2013-05-31","2013May","10.180983"
"2013-06-30","2013Jun","9.803659"
"2013-07-31","2013Jul","9.584755"
"2013-08-31","2013Aug","9.828052"
"2013-09-30","2013Sep","9.987306"
"2013-10-31","2013Oct","10.289447"
"2013-11-30","2013Nov","10.593894"
"2013-12-31","2013Dec","10.512523"
"2014-01-31","2014Jan","10.799272"
"2014-02-28","2014Feb","10.664543"
"2014-03-31","2014Mar","10.367242"
"2014-04-30","2014Apr","10.032529"
"2014-05-31","2014May","9.868562"
"2014-06-30","2014Jun","9.562568"
"2014-07-31","2014Jul","9.513100"
"2014-08-31","2014Aug","9.983102"
"2014-09-30","2014Sep","10.121166"
"2014-10-31","2014Oct","10.584371"
"2014-11-30","2014Nov","10.948756"
"2014-12-31","2014Dec","10.801948"
"2015-01-31","2015Jan","10.952259"
"2015-02-28","2015Feb","10.767751"
"2015-03-31","2015Mar","10.512584"
"2015-04-30","2015Apr","10.274769"
"2015-05-31","2015May","10.199100"
"2015-06-30","2015Jun","9.822808"
"2015-07-31","2015Jul","9.711043"
"2015-08-31","2015Aug","10.193622"
"2015-09-30","2015Sep","10.081211"
"2015-10-31","2015Oct","10.446882"
"2015-11-30","2015Nov","10.643997"
"2015-12-31","2015Dec","10.551260"
"2016-01-31","2016Jan","10.846031"
"2016-02-29","2016Feb","10.786628"
"2016-03-31","2016Mar","10.313313"
"2016-04-30","2016Apr","9.894843"
"2016-05-31","2016May","9.685956"
"2016-06-30","2016Jun","9.339001"
"2016-07-31","2016Jul","9.257593"
"2016-08-31","2016Aug","9.866846"
"2016-09-30","2016Sep","9.753778"
"2016-10-31","2016Oct","10.257452"
"2016-11-30","2016Nov","10.424074"
"2016-12-31","2016Dec","10.251516"
"2017-01-31","2017Jan","10.284563"
"2017-02-28","2017Feb","10.007092"
"2017-03-31","2017Mar","9.666522"
"2017-04-30","2017Apr","9.293994"
"2017-05-31","2017May","9.171341"
"2017-06-30","2017Jun","8.924539"
"2017-07-31","2017Jul","9.113074"
"2017-08-31","2017Aug","9.607186"
"2017-09-30","2017Sep","9.172912"
"2017-10-31","2017Oct","9.265920"
"2017-11-30","2017Nov","9.245461"
"2017-12-31","2017Dec","9.260724"
"2018-01-31","2018Jan","9.760592"
"2018-02-28","2018Feb","9.672837"
"2018-03-31","2018Mar","9.335925"
"2018-04-30","2018Apr","8.916367"
"2018-05-31","2018May","8.724715"
"2018-06-30","2018Jun","8.438646"
"2018-07-31","2018Jul","8.567129"
"2018-08-31","2018Aug","9.099565"
"2018-09-30","2018Sep","8.821908"
"2018-10-31","2018Oct","8.973939"
"2018-11-30","2018Nov","8.995513"
"2018-12-31","2018Dec","8.998811"
"2019-01-31","2019Jan","9.268799"
"2019-02-28","2019Feb","9.049015"
"2019-03-31","2019Mar","8.684139"
"2019-04-30","2019Apr","8.216598"
"2019-05-31","2019May","8.049924"
"2019-06-30","2019Jun","7.887317"
"2019-07-31","2019Jul","8.052812"
"2019-08-31","2019Aug","8.561288"
"2019-09-30","2019Sep","8.206315"
"2019-10-31","2019Oct","8.389641"
"2019-11-30","2019Nov","8.428455"
"2019-12-31","2019Dec","8.402338"
"2020-01-31","2020Jan","8.697302"
"2020-02-29","2020Feb","8.092493"
"2020-03-31","2020Mar","7.486271"
"2020-04-30","2020Apr","7.181030"
"2020-05-31","2020May","6.477022"
"2020-06-30","2020Jun","6.771786"
"2020-07-31","2020Jul","8.333487"
"2020-08-31","2020Aug","9.401711"
"2020-09-30","2020Sep","9.094272"
"2020-10-31","2020Oct","8.488004"
"2020-11-30","2020Nov","8.245014"
"2020-12-31","2020Dec","8.071633"
"2021-01-31","2021Jan","8.454814"
"2021-02-28","2021Feb","8.422057"
"2021-03-31","2021Mar","8.117159"
"2021-04-30","2021Apr","7.895943"
"2021-05-31","2021May","7.593631"
"2021-06-30","2021Jun","7.375433"
"2021-07-31","2021Jul","7.694422"
"2021-08-31","2021Aug","8.272282"
"2021-09-30","2021Sep","7.815456"
"2021-10-31","2021Oct","7.684668"
"2021-11-30","2021Nov","7.582082"
"2021-12-31","2021Dec","7.524670"
"2022-01-31","2022Jan","7.655443"
"2022-02-28","2022Feb","7.537093"
"2022-03-31","2022Mar","7.355740"
"2022-04-30","2022Apr","7.235704"
"2022-05-31","2022May","7.141295"
"2022-06-30","2022Jun","6.978389"
"2022-07-31","2022Jul","7.114599"
"2022-08-31","2022Aug","7.641376"
"2022-09-30","2022Sep","7.222867"
"2022-10-31","2022Oct","7.379529"
"2022-11-30","2022Nov","7.289627"
"2022-12-31","2022Dec","7.255661"
"2023-01-31","2023Jan","7.395385"
"2023-02-28","2023Feb","7.227355"
"2023-03-31","2023Mar","7.044149"
"2023-04-30","2023Apr","7.022004"
"2023-05-31","2023May","6.995042"
"2023-06-30","2023Jun","6.779207"
"2023-07-31","2023Jul","7.163851"
"2023-08-31","2023Aug","7.778860"
"2023-09-30","2023Sep","7.415696"
